coordinate_id,source,longitude,latitude,year,presence_type,georef_method,source_detail,location_name,state,locality,case_count,reference,notes
47,Mueller_et_al_2012_Fig2,36.09406,13.74078,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
48,Mueller_et_al_2012_Fig2,36.24615,13.68474,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
49,Mueller_et_al_2012_Fig2,36.26882,13.66639,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
50,Mueller_et_al_2012_Fig2,36.29905,13.63354,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
51,Mueller_et_al_2012_Fig2,36.28204,13.61615,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
52,Mueller_et_al_2012_Fig2,36.29338,13.60648,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
53,Mueller_et_al_2012_Fig2,36.30472,13.5804,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
54,Mueller_et_al_2012_Fig2,36.2811,13.54755,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
55,Mueller_et_al_2012_Fig2,36.25748,13.52726,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
56,Mueller_et_al_2012_Fig2,36.22064,13.52726,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
57,Mueller_et_al_2012_Fig2,36.1583,13.48475,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
58,Mueller_et_al_2012_Fig2,36.17152,13.50117,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
59,Mueller_et_al_2012_Fig2,36.1668,13.55334,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
60,Mueller_et_al_2012_Fig2,36.19514,13.59199,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
61,Mueller_et_al_2012_Fig2,36.13752,13.63064,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
62,Mueller_et_al_2012_Fig2,36.13657,13.64803,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
63,Mueller_et_al_2012_Fig2,35.93725,13.61808,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
64,Mueller_et_al_2012_Fig2,35.93064,13.71566,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
65,Mueller_et_al_2012_Fig2,35.93725,13.75817,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
66,Mueller_et_al_2012_Fig2,35.94576,13.763,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
67,Mueller_et_al_2012,36.0919,13.6238,2011,vl_case,geocoded_name,,Tabarak Allah,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,reference point for fig 2 digitization; confirmed as study village from map
68,IFRC_DREF_MDRSD031_2022,35.2264,12.8313,2022,facility_report,geocoded_name,,Bandigaw,Gedaref,Al Rahd,,MDRSD031,Found on geonames as Bandighew
69,IFRC_DREF_MDRSD031_2022,34.63850236,13.42796295,2022,facility_report,geocoded_name,,Alhawata,Gedaref,Al Rahd,,MDRSD031,El Hawata on Google Maps/GeoNames. Hospital coords
70,IFRC_DREF_MDRSD031_2022,36.08490968,13.62603662,2022,facility_report,geocoded_name,,Tabarkallah,Gedaref,Al-Gureisha,,MDRSD031,Hospital coords
71,IFRC_DREF_MDRSD031_2022,35.74103895,13.511581,2022,facility_report,geocoded_name,,Doka,Gedaref,Al Galabat,,MDRSD031,Hospital coords
