"fc","rm","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd"
"L",0.5,0.858317185520958,0.110455033280397,0.6465,0.253027666471475,0.118659420289855,0.185959946384471
"L",1,0.85836169323827,0.11092126115394,0.668,0.226470012731634,0.118659420289855,0.185959946384471
"L",1.5,0.858475745568996,0.111105071896674,0.65675,0.236037249885126,0.118659420289855,0.185959946384471
"L",2,0.858421768297803,0.111368913150174,0.6555,0.237763888483232,0.118659420289855,0.185959946384471
"L",2.5,0.858300393066818,0.111938482712799,0.677,0.227995613992901,0.118659420289855,0.185959946384471
"L",3,0.858295106580318,0.112094902498975,0.68125,0.23693652455176,0.118659420289855,0.185959946384471
"L",3.5,0.858158960072845,0.112240039203049,0.67,0.233468056344617,0.118659420289855,0.185959946384471
"L",4,0.857873986313942,0.112387280486139,0.6635,0.262309613497739,0.118659420289855,0.185959946384471
"LQ",0.5,0.86655846888937,0.0977561014005276,0.71575,0.128300103923055,0.1359007996002,0.174110760066229
"LQ",1,0.864282288677535,0.105265708116178,0.7005,0.176668238986714,0.118659420289855,0.185959946384471
"LQ",1.5,0.86156969140422,0.106859430221221,0.63925,0.18944194361334,0.118659420289855,0.185959946384471
"LQ",2,0.85970201766699,0.107446592593968,0.61525,0.206949873157729,0.118659420289855,0.185959946384471
"LQ",2.5,0.858346200514072,0.108046363133848,0.61925,0.187574651805621,0.118659420289855,0.185959946384471
"LQ",3,0.858269203165353,0.108929157072856,0.6305,0.17534062088784,0.118659420289855,0.185959946384471
"LQ",3.5,0.858305212429663,0.109570240439077,0.64975,0.206136483912965,0.118659420289855,0.185959946384471
"LQ",4,0.85837556847193,0.110369448162335,0.677,0.185369900469305,0.118659420289855,0.185959946384471
"LQH",0.5,0.870345046464331,0.0861327715185764,0.8205,0.0566009422771977,0.138643746308664,0.169735441059129
"LQH",1,0.871118875162156,0.0922036452201207,0.74575,0.0344516569509606,0.108242753623188,0.189727197919354
"LQH",1.5,0.868348137843123,0.0959777558937997,0.758,0.0659747426419131,0.108242753623188,0.189727197919354
"LQH",2,0.863834802523639,0.0991046168361555,0.75625,0.117269987635371,0.108242753623188,0.189727197919354
"LQH",2.5,0.860482035860285,0.101627611236404,0.6355,0.238414904455797,0.108242753623188,0.189727197919354
"LQH",3,0.858234285287642,0.105189239147043,0.61275,0.278673494732934,0.118659420289855,0.185959946384471
"LQH",3.5,0.857128864602685,0.107397012426928,0.5755,0.291389201355621,0.118659420289855,0.185959946384471
"LQH",4,0.856818159287312,0.108324858525805,0.6235,0.255084953169201,0.118659420289855,0.185959946384471
"LQHP",0.5,0.864311278803558,0.0813092635103841,0.79475,0.0546282893746454,0.144521489255372,0.170508298355745
"LQHP",1,0.868528792385195,0.0885975270504004,0.7145,0.0458730131268193,0.118659420289855,0.185959946384471
"LQHP",1.5,0.867914491426524,0.093312735504996,0.746,0.122016392341357,0.108242753623188,0.189727197919354
"LQHP",2,0.865471148965817,0.0966319967272812,0.6975,0.193239919961344,0.108242753623188,0.189727197919354
"LQHP",2.5,0.863021690110866,0.100447893376554,0.60975,0.31882009033309,0.108242753623188,0.189727197919354
"LQHP",3,0.86088104688771,0.102592605260489,0.6145,0.254911095613091,0.118659420289855,0.185959946384471
"LQHP",3.5,0.860268043481329,0.104010770860393,0.634,0.155552777752976,0.118659420289855,0.185959946384471
"LQHP",4,0.859831483310288,0.105662576992899,0.602,0.222957395033222,0.118659420289855,0.185959946384471
