"fc","rm","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd"
"L",0.5,0.822044186398966,0.086494893384896,0.4895,0.426564961836608,0.129528985507246,0.207259361608023
"L",1,0.822431866926043,0.0864456190307886,0.48975,0.43357919307396,0.129528985507246,0.207259361608023
"L",1.5,0.822781171698017,0.0862875517808611,0.498,0.425283434899597,0.129528985507246,0.207259361608023
"L",2,0.823378248668512,0.0863954814623168,0.52375,0.382090194413134,0.129528985507246,0.207259361608023
"L",2.5,0.823965719090676,0.0864473073670638,0.51025,0.397466455607682,0.118659420289855,0.185959946384471
"L",3,0.824445651688058,0.0863971353784682,0.51925,0.412167744977697,0.118659420289855,0.185959946384471
"L",3.5,0.824978976059008,0.0863449117031157,0.505,0.399265158343007,0.118659420289855,0.185959946384471
"L",4,0.825404561099522,0.0864966213184553,0.5505,0.365772698088125,0.118659420289855,0.185959946384471
"LQ",0.5,0.86009924151484,0.0912030744646136,0.8495,0.0246373699895099,0.14945652173913,0.177138344433618
"LQ",1,0.857179617196772,0.0907930268474531,0.8695,0.0317647603485372,0.169440847757939,0.154808870930514
"LQ",1.5,0.854213573046804,0.0899533730945906,0.857,0.0530094331227943,0.139039855072464,0.17035007029739
"LQ",2,0.851373396943998,0.0876842831853914,0.819,0.0472793118957259,0.139039855072464,0.17035007029739
"LQ",2.5,0.849658979295869,0.0865638146244368,0.797,0.0538702144046225,0.139039855072464,0.17035007029739
"LQ",3,0.848273255869631,0.0855352645889842,0.7235,0.0507313184006356,0.139039855072464,0.17035007029739
"LQ",3.5,0.846758633996842,0.0849306129397977,0.68375,0.136539066448642,0.139039855072464,0.17035007029739
"LQ",4,0.845138718595669,0.0842611606403331,0.63525,0.252180325693078,0.139039855072464,0.17035007029739
"LQH",0.5,0.862418313224576,0.0807280999932999,0.75725,0.106064052974292,0.1504034914361,0.159129967116051
"LQH",1,0.865017641248277,0.0829581716742354,0.77625,0.179228671441448,0.1504034914361,0.159129967116051
"LQH",1.5,0.864198707900086,0.0843887079745385,0.83575,0.157755876805483,0.1504034914361,0.159129967116051
"LQH",2,0.862590971433301,0.0855453151332217,0.8075,0.150232042742774,0.1504034914361,0.159129967116051
"LQH",2.5,0.860930901419291,0.0873587996928714,0.83325,0.112182514977454,0.149909420289855,0.188529867871394
"LQH",3,0.858777670148205,0.0884798054471071,0.81475,0.0759446070062472,0.158530109945027,0.179984951232726
"LQH",3.5,0.857453589456403,0.0882157195005461,0.83725,0.0460751198225969,0.158530109945027,0.179984951232726
"LQH",4,0.856093662724692,0.0871139026514549,0.83675,0.073163629397855,0.149909420289855,0.188529867871394
"LQHP",0.5,0.849262375886621,0.0876977290615218,0.695,0.261081085744129,0.161273056653491,0.177531209367457
"LQHP",1,0.856182700456361,0.0855925668655737,0.7935,0.131960852780916,0.161273056653491,0.177531209367457
"LQHP",1.5,0.8586761241411,0.0842854238088019,0.81775,0.108198505843041,0.161767127799737,0.150527752489783
"LQHP",2,0.8605291465683,0.0852220498857486,0.817,0.0858991656924948,0.161273056653491,0.177531209367457
"LQHP",2.5,0.860865288607351,0.086886336703209,0.81825,0.0629358138635441,0.161273056653491,0.177531209367457
"LQHP",3,0.86062484335173,0.0872292665019494,0.8445,0.0784708013637345,0.169893746308664,0.167651927726047
"LQHP",3.5,0.860358025075908,0.0870078240426986,0.8345,0.0864272333623301,0.169893746308664,0.167651927726047
"LQHP",4,0.859281905931569,0.0863435604514384,0.80175,0.0901605050266838,0.149909420289855,0.188529867871394
