"longitude","latitude","year","source","state","region","suitability"
36.13657,13.64803,2011,"Mueller_et_al_2012_Fig2","Al Qadarif","East",0.625367403030396
35.93725,13.61808,2011,"Mueller_et_al_2012_Fig2","Al Qadarif","East",0.660021066665649
35.93064,13.71566,2011,"Mueller_et_al_2012_Fig2","Al Qadarif","East",0.889149010181427
35.94576,13.763,2011,"Mueller_et_al_2012_Fig2","Al Qadarif","East",0.852421581745148
36.0919,13.6238,2011,"Mueller_et_al_2012","Al Qadarif","East",0.955182611942291
32.5,13.4,2011,"Widaa_et_al_2012","White Nile","East",0.531865239143372
35.31575,12.85333,2011,"gerstl_et_al_2006_fig1","Al Qadarif","East",0.649865508079529
35.2264,12.8313,2022,"IFRC_DREF_MDRSD031_2022","Al Qadarif","East",0.84219092130661
34.63850236,13.42796295,2022,"IFRC_DREF_MDRSD031_2022","Al Qadarif","East",0.988726258277893
36.08490968,13.62603662,2022,"IFRC_DREF_MDRSD031_2022","Al Qadarif","East",0.950725138187408
35.74103895,13.511581,2022,"IFRC_DREF_MDRSD031_2022","Al Qadarif","East",0.988358557224274
35.85408325,12.99704695,2022,"IFRC_DREF_MDRSD031_2022","Al Qadarif","East",0.997607886791229
33.54144831,14.14818026,2022,"IFRC_DREF_MDRSD031_2022","Al Jazirah","East",0.138012632727623
35.42846209,13.832493,2022,"IFRC_DREF_MDRSD031_2022","Al Qadarif","East",0.993391931056976
35.38788452,14.0395699,2022,"IFRC_DREF_MDRSD031_2022","Al Qadarif","East",0.989536166191101
24.87728825,12.05706289,2022,"Hamid_et_al_2025","South Darfur","West",0.0988112315535545
35.42846209,13.832493,2013,"Adam_et_al_2014","Al Qadarif","East",0.993391931056976
26.2503,15.228,2013,"Mohammed_et_al_2018","North Darfur","West",0.00831342674791813
25.3101764,13.48865821,2013,"radio_dabanga_pr_2013","North Darfur","West",0.00855383649468422
36.02643,13.67571,2013,"hassan_et_al_2020_fig1","Al Qadarif","East",0.560291111469269
