"novel","in_mask","arp","pct_of_headline"
FALSE,TRUE,11539628.3167059,82.5
TRUE,TRUE,555.310421576301,0
FALSE,FALSE,2202740.20944482,15.8
TRUE,FALSE,238571.281623772,1.7
