"fold_excluded","arp_weighted","arp_p10","arp_maxsss"
1,13098165.1152831,15831463.8976108,8986030.40531082
2,8182871.76629512,18411697.2446306,6545635.03443863
3,18144224.035568,30192169.183527,15239925.0324347
4,16695587.5469947,17895452.4858268,8752209.84594725
