"variable","type","n","min","q05","q25","median","q75","q95","max"
"lst_night","Presence",98,19.2406666666667,20.5928212974296,22.3865588235294,22.9135139318886,23.7092780337942,24.5907114982579,25.8704444444445
"lst_night","Background",10000,2.5061904761905,14.4064378881988,19.4459121621622,20.9074458874459,22.1518323863637,23.9785972222222,28.2522727272728
"rainfall","Presence",98,127.792879343033,259.201966038346,508.953533768654,610.461199641228,718.385645313654,896.107760930061,1068.12158048153
"rainfall","Background",10000,56.422792901074,143.548523712158,304.704311298206,575.34942946583,850.736376696033,1347.75625926657,2230.62212324142
"river_dist","Presence",98,158.395679165765,277.030811128792,1102.45181858517,3193.95618398291,6783.13089736479,11249.4557744793,13874.126850085
"river_dist","Background",10000,131.008514413674,355.188680272899,1599.55416370063,3507.17989937214,6116.66650843968,10088.3762924321,18846.332938893
"slope","Presence",98,1.40769851207733,1.63966494202614,1.92917788028717,2.35499918460846,2.74772143363953,3.92057422399521,6.74929094314575
"slope","Background",10000,0,1.63358528614044,2.06115388870239,2.5448077917099,3.85395467281342,17.39153175354,38.5717544555664
